,id,address_v4,asn_v4,prefix_v4,address_v6,asn_v6,prefix_v6,country,status,is_public,latitude,longitude,description,lastWeekOn,lastMonthOn,allTimeOn,Seconds_disconnected,Days_disconnected
462,54639,85.59.17.35,12479,85.59.16.0/22,-,-,-,es,Connected,Yes,28.6815,-17.7615,-,0.9991,0.9662999999999999,0.9937999999999999,0,0
466,55263,81.0.13.45,15704,81.0.0.0/20,-,-,-,es,Connected,Yes,41.3785,2.1705,"AS15704 - Spain, Barcelona, Ra",1.0,0.9997,0.9754,0,0
467,55346,92.191.19.22,12479,92.191.16.0/22,-,-,-,es,Connected,Yes,40.4205,-3.7105,-,0.9997,0.9979,0.9965999999999999,0,0
468,55420,79.117.7.133,57269,79.116.0.0/15,-,-,-,es,Connected,Yes,41.4975,2.0385,dbizarro Home,1.0,0.9995,0.9961,0,0
470,55661,83.54.77.45,3352,83.54.0.0/16,-,-,-,es,Connected,Yes,40.9475,-5.6595,ALOJALIA SAL-HOME1,1.0,1.0,0.971,0,0
471,55787,79.152.111.181,3352,79.152.0.0/16,-,-,-,es,Disconnected,Yes,41.4105,2.1615,ekesken-home,0.0,0.0,0.6790999999999999,18444437,213
472,60032,212.237.255.3,200845,212.237.255.0/24,-,-,-,es,Connected,Yes,38.7485,-0.5715,Mariola Secreta,0.9978,0.9987,0.59,0,0
473,60061,188.26.220.73,57269,188.26.216.0/21,2a0c:5a82:8104:7600:da58:d7ff:fe03:77f,57269,2a0c:5a80::/29,es,Connected,Yes,40.4575,-3.7095,Sonda Madrid Franco Rodriguez,0.9997,0.9998,0.9969,0,0
474,60133,92.185.50.153,12479,92.185.48.0/21,fd00::da58:d7ff:fe03:6bf,-,-,es,Disconnected,Yes,38.3585,-0.4215,-,0.22329999999999997,0.45549999999999996,0.9504,55,0
475,60135,62.82.127.239,6739,62.82.0.0/16,-,-,-,es,Connected,Yes,27.8995,-15.7315,Casa La Cardonera,0.9987999999999999,0.9993000000000001,0.9934000000000001,0,0
476,60319,185.50.0.3,60273,185.50.0.0/22,-,-,-,es,Connected,Yes,41.8515,3.0975,-,1.0,0.9997,0.9984000000000001,0,0
477,60374,92.172.101.225,12479,92.172.96.0/20,-,-,-,es,Connected,Yes,40.0995,-4.0495,mtnezm.es,0.9992,0.9997,0.9704,0,0
478,60416,79.116.58.23,57269,79.116.0.0/15,-,-,-,es,Connected,Yes,40.1905,-3.6725,aletz.es,0.9953,0.9984000000000001,0.9994,0,0
480,60464,212.64.160.7,12540,212.64.160.0/19,-,-,-,es,Connected,Yes,28.1195,-15.4295,DataCenter JXXIII probe,1.0,1.0,0.9998999999999999,0,0
481,60494,83.36.156.175,3352,83.36.0.0/16,2a02:9140:5100:800:da58:d7ff:fe03:717,3352,2a02:9000::/23,es,Connected,Yes,40.2495,-3.8285,Casa Humanes,0.9997,0.9993000000000001,0.9908,0,0
482,60533,185.66.46.63,50563,185.66.44.0/22,-,-,-,es,Connected,Yes,37.5985,-1.0015,Tele Cartagena barrio de la co,0.9987999999999999,0.9951000000000001,0.9982,0,0
483,60555,93.176.180.28,15704,93.176.176.0/20,-,-,-,es,Connected,Yes,41.3895,2.1795,-,1.0,0.9991,0.9962000000000001,0,0
484,60561,79.146.72.17,3352,79.146.0.0/16,2a02:9140:4f80:6c00:da58:d7ff:fe03:a0a,3352,2a02:9000::/23,es,Connected,Yes,40.2975,-3.8395,House probe,0.9989,0.9965999999999999,0.9984000000000001,0,0
485,60589,193.84.93.10,209910,193.84.93.0/24,-,-,-,es,Connected,Yes,38.1215,-1.2885,Archena Mapeka,1.0,0.9998,0.9976999999999999,0,0
486,60610,79.117.199.135,57269,79.116.0.0/15,2a0c:5a80:c306:2a00:da58:d7ff:fe03:6d6,57269,2a0c:5a80::/29,es,Connected,Yes,40.3075,-3.7325,-,1.0,0.9998999999999999,0.9997,0,0
487,60629,93.156.219.181,15704,93.156.216.0/21,-,-,-,es,Connected,Yes,42.3615,-2.4815,Home,0.9997,0.9997,0.9942,0,0
488,60653,91.117.120.198,12334,91.117.64.0/18,-,-,-,es,Disconnected,Yes,42.6485,-8.8805,-,0.0,0.0,0.0933,30574545,353
490,60668,79.117.24.184,57269,79.116.0.0/15,2a0c:5a83:f902:2c00:da58:d7ff:fe03:8c4,57269,2a0c:5a80::/29,es,Connected,Yes,40.4115,-3.6095,-,1.0,0.9995,0.11349999999999999,0,0
492,60780,212.163.228.77,12541,212.163.0.0/16,-,-,-,es,Connected,Yes,40.4175,-3.6985,Probe #60780,0.9978,0.9995,0.9992,0,0
493,60900,83.48.37.217,3352,83.48.0.0/16,-,-,-,es,Connected,Yes,40.3275,-3.7525,AT,1.0,0.9998999999999999,0.9998,0,0
494,60944,81.0.13.45,15704,81.0.0.0/20,-,-,-,es,Connected,Yes,41.3795,2.1695,"AS15704 - Spain, Barcelona, Ra",1.0,1.0,0.9871,0,0
495,61019,212.81.204.129,3262,212.81.128.0/17,2a03:c600:c028:101:da58:d7ff:fe03:a18,3262,2a03:c600::/32,es,Connected,Yes,43.2815,-2.0125,IBD Probe,1.0,0.9995999999999999,0.9995999999999999,0,0
497,61201,185.59.67.186,56882,185.59.67.0/24,-,-,-,es,Connected,Yes,42.4575,-2.4625,RIPE PROBE1 - LCR,1.0,0.9992,0.9945,0,0
498,61230,88.17.177.243,3352,88.17.0.0/16,fddc:a502:5043:5745:da58:d7ff:fe03:87b,-,-,es,Connected,Yes,39.4575,-0.3815,-,1.0,1.0,0.9992,0,0
499,61357,83.53.163.145,3352,83.53.0.0/16,-,-,-,es,Connected,Yes,43.3105,-5.7005,Llangr̩u,1.0,1.0,0.9995999999999999,0,0
501,61476,83.173.142.55,6739,83.173.128.0/18,-,-,-,es,Connected,Yes,42.4605,-2.4595,RIPE PROBE2 - Vodafone,1.0,0.9987999999999999,0.9972,0,0
502,61498,145.224.124.35,14593,145.224.124.0/22,-,-,-,es,Disconnected,Yes,40.4215,-3.6885,-,0.0,0.0,0.18170000000000003,22983079,266
503,61531,92.187.60.106,12479,92.187.60.0/22,-,-,-,es,Connected,Yes,40.3975,-4.0015,Mi sonda RIPE de Brunete,0.9964,0.9975,0.9863,0,0
504,61547,88.0.13.106,3352,88.0.0.0/16,-,-,-,es,Connected,Yes,39.9705,-4.8305,SONDA RIPE ATLAS,0.9975,0.9969,0.9879000000000001,0,0
505,61646,79.116.138.4,57269,79.116.0.0/15,2a0c:5a80:b20c:bb00:da58:d7ff:fe03:94d,57269,2a0c:5a80::/29,es,Connected,Yes,40.3405,-3.7105,-,0.9997,0.9995,0.9861,0,0
