,id,address_v4,asn_v4,prefix_v4,address_v6,asn_v6,prefix_v6,country,status,is_public,latitude,longitude,description,lastWeekOn,lastMonthOn,allTimeOn
57,4143,88.13.67.12,3352,88.13.0.0/16,2a02:9140:6b80:3500:280:a3ff:fe91:3a5a,3352,2a02:9000::/23,es,Connected,Yes,43.2685,-2.9505,-,0.44079999999999997,0.4407,0.6069
58,4640,85.217.139.195,200845,85.217.138.0/23,-,-,-,es,Connected,Yes,38.0575,-0.8705,ROBSPROBE,1.0,0.9998999999999999,0.9912000000000001
59,4662,147.83.206.82,13041,147.83.0.0/16,-,-,-,es,Abandoned,Yes,41.3885,2.1705,-,0.0,0.0,0.1821
60,4730,185.14.56.14,202054,185.14.56.0/22,-,-,-,es,Abandoned,Yes,37.9575,-1.2015,OFICINA,0.0,0.0,0.255
61,4828,147.84.200.125,39069,147.84.0.0/16,2a00:db40:0:1:280:a3ff:fe91:42e2,39069,2a00:db40::/32,es,Abandoned,Yes,37.9815,-1.1215,Comunidad AutÃ³noma RegiÃ³n Murc,0.0,0.0,0.5003
62,4931,109.234.82.2,13287,109.234.82.0/23,2a02:23a0:1111:3::2,13287,2a02:23a0::/32,es,Abandoned,Yes,39.5175,-0.4715,NIXVAL RIPE_ATLAS_R4_PROBE1,0.0,0.0,0.6392
63,5010,88.20.32.113,3352,88.20.0.0/16,-,-,-,es,Connected,Yes,37.9875,-1.1325,Julio's Probe,0.9769,0.9862000000000001,0.7081999999999999
64,5011,88.1.227.67,3352,88.1.0.0/16,-,-,-,es,Abandoned,Yes,40.4975,-4.0725,Valdemorillo,0.0,0.0,0.3625
65,6048,84.88.18.254,13041,84.88.0.0/16,2001:40b0:2::2,13041,2001:40b0::/32,es,Abandoned,Yes,41.3915,2.1095,CSUC,0.0,0.0,0.39039999999999997
66,6124,163.117.253.5,766,163.117.0.0/16,2001:720:410:3035:200:24ff:fed1:5dcc,766,2001:720::/32,es,Abandoned,Yes,40.3295,-3.7715,University Carlos III of Madri,0.0,0.0,0.4803
67,6352,84.88.18.254,13041,84.88.0.0/16,2001:40b0:2::2,13041,2001:40b0::/32,es,Connected,Yes,41.3885,2.1095,CSUC - Consorci de Serveis Uni,1.0,1.0,0.9995
68,6604,31.47.76.181,15954,31.47.72.0/21,2a01:a940:445:d::1,15954,2a01:a940::/32,es,Connected,Yes,40.4895,-3.6925,"TecnocrÃ¡tica Centro de Datos,",0.9982,0.9992,0.9914000000000001
69,6668,92.38.171.55,202422,92.38.171.0/24,2a03:90c0:246::2e,199524,2a03:90c0:240::/44,es,Connected,Yes,40.5815,-3.5795,G-Core Labs S.A.,1.0,1.0,0.9995
70,6687,147.84.200.125,39069,147.84.0.0/16,-,-,-,es,Connected,Yes,37.9905,-1.1285,CARM - Comunidad AutÃ³noma de M,1.0,1.0,0.9998999999999999
71,6732,163.117.253.5,766,163.117.0.0/16,2001:720:410:3035:200:24ff:fed1:5dcc,766,2001:720::/32,es,Abandoned,Yes,40.3285,-3.7715,UC3M,0.0,0.0,0.6833
72,6819,185.22.200.38,197712,185.22.200.0/22,-,-,-,es,Abandoned,Yes,41.3515,2.1375,10dencehispahard SL,0.0,0.0,0.5661999999999999
73,6926,194.156.155.241,48386,194.156.155.0/24,2a0d:5642:113:201:5054:ff:fe7c:cc09,48386,2a0d:5642:113::/48,es,Connected,Yes,40.4405,-3.6215,"Misaka Network, Inc.",0.9992,0.9995999999999999,0.9779000000000001
74,6980,156.154.79.254,12008,156.154.79.0/24,2610:a1:3034:252::254,12008,2610:a1:3034::/48,es,Disconnected,Yes,40.4475,-3.5685,Neustar,0.0,0.0,0.8740000000000001
75,7017,82.98.154.62,42612,82.98.128.0/18,2a02:be8:3:200:216:3eff:fe7b:2391,42612,2a02:be8::/32,es,Connected,Yes,40.4405,-3.6225,Dinahosting S.L.,1.0,0.9998,0.9998
76,7086,37.46.78.66,15699,37.46.72.0/21,2a00:6640:e:101:f816:3eff:fe48:e511,15699,2a00:6640::/32,es,Connected,Yes,40.5105,-3.3385,"Adam Ecotech, S.A.",1.0,1.0,0.9998999999999999
77,7089,94.24.115.154,15699,94.24.112.0/20,2a01:1c8:e:101::a,15699,2a01:1c8::/32,es,Connected,Yes,41.4915,2.1215,"Adam Ecotech, S.A.",1.0,0.9998,0.9998999999999999
78,7289,5.180.228.37,8637,5.180.228.0/24,2a0b:c800:1:ffff::1501:2,8637,2a0b:c800:1::/48,es,Connected,Yes,40.4415,-3.6185,"SpainWISP, S.L.",1.0,1.0,1.0
79,10055,-,-,-,-,-,-,es,Abandoned,Yes,37.9695,-1.1805,NONDUERMAS,0.0,0.0,0.0021
